province,province_key,year,geographical_region,statistical_region,population,in_migration,out_migration,net_migration,net_migration_rate,active_insured_total,active_insured_share_of_population,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate,higher_education_share,tr_code,academic_year,upper_secondary_gross_enrollment_rate,general_secondary_gross_enrollment_rate,vocational_secondary_gross_enrollment_rate,investigation_files_total_load,investigation_files_carry_in,investigation_files_opened,investigation_files_closed,investigation_files_carry_out,investigation_files_total_load_per_100k,investigation_files_opened_per_100k
Adana,adana,2011,Akdeniz,Akdeniz,,,,,,395819,,,,,,,,,,,,,,,TR621,2010-2011,83.89,53.56,30.32,171394.0,82061.0,89333.0,84244.0,87150.0,,
Adana,adana,2012,Akdeniz,Akdeniz,,,,,,409450,,,,,,,,,,,,,,,TR621,2011-2012,88.57,55.67,32.9,179927.0,87152.0,92775.0,86311.0,93616.0,,
Adana,adana,2013,Akdeniz,Akdeniz,,,,,,431585,,,,,,,,,,,,,,,TR621,2012-2013,91.44,57.3,34.14,193630.0,93615.0,100015.0,93783.0,99847.0,,
Adana,adana,2014,Akdeniz,Akdeniz,,,,,,454816,,,,,,,,,,,,,,,TR621,2013-2014,99.28,58.2,41.09,203390.0,101350.0,102040.0,93951.0,109439.0,,
Adana,adana,2015,Akdeniz,Akdeniz,,,,,,476002,,,,,,,,,,,,,,,TR621,2014-2015,119.1,70.04,49.06,211659.0,109439.0,102220.0,100783.0,110876.0,,
Adana,adana,2016,Akdeniz,Akdeniz,,,,,,496007,,,,,,,,,,,,,,,TR621,2015-2016,106.16,59.59,46.57,218678.0,110877.0,107801.0,95175.0,123503.0,,
Adana,adana,2017,Akdeniz,Akdeniz,,,,,,518239,,,,,,,,,,,,,,,TR621,2016-2017,104.12,59.03,45.08,237840.0,123504.0,114336.0,106004.0,131836.0,,
Adana,adana,2018,Akdeniz,Akdeniz,,,,,,505842,,,,,,,,,,,,,,,TR621,2017-2018,109.87,59.76,50.1,242187.0,131835.0,110352.0,102989.0,139198.0,,
Adana,adana,2019,Akdeniz,Akdeniz,,,,,,492260,,,,,,,,,,,,,,,TR621,2018-2019,109.94,62.99,46.95,241380.0,139198.0,102182.0,110396.0,130984.0,,
Adana,adana,2020,Akdeniz,Akdeniz,,,,,,521356,,,,,,,,,,,,,,,TR621,2019-2020,112.99,68.67,44.32,230176.0,130984.0,99192.0,97261.0,132915.0,,
Adana,adana,2021,Akdeniz,Akdeniz,2263373.0,53649.0,65628.0,-11979.0,-5.278574930184138,548478,0.24232771178237084,2045393.0,59516.0,221690.0,384204.0,459128.0,288827.0,31690.0,4606.0,0.029097586625162,0.2244693318105615,0.1412085599197807,0.0177452450458176,0.1589538049655983,TR621,2020-2021,126.24,77.9,48.34,245731.0,132916.0,112815.0,109810.0,135921.0,10856.849489677574,4984.375089744377
Adıyaman,adiyaman,2011,Güneydoğu Anadolu,Güneydoğu Anadolu,,,,,,81411,,,,,,,,,,,,,,,TRC12,2010-2011,77.11,53.89,23.22,22908.0,5746.0,17162.0,15644.0,7264.0,,
Adıyaman,adiyaman,2012,Güneydoğu Anadolu,Güneydoğu Anadolu,,,,,,82654,,,,,,,,,,,,,,,TRC12,2011-2012,84.26,57.53,26.73,24581.0,7264.0,17317.0,16914.0,7667.0,,
Adıyaman,adiyaman,2013,Güneydoğu Anadolu,Güneydoğu Anadolu,,,,,,82404,,,,,,,,,,,,,,,TRC12,2012-2013,90.82,59.1,31.72,24558.0,7667.0,16891.0,16244.0,8314.0,,
Adıyaman,adiyaman,2014,Güneydoğu Anadolu,Güneydoğu Anadolu,,,,,,85726,,,,,,,,,,,,,,,TRC12,2013-2014,104.15,59.08,45.07,25779.0,8324.0,17455.0,16088.0,9691.0,,
Adıyaman,adiyaman,2015,Güneydoğu Anadolu,Güneydoğu Anadolu,,,,,,92680,,,,,,,,,,,,,,,TRC12,2014-2015,109.53,54.19,55.34,26773.0,9691.0,17082.0,15745.0,11028.0,,
