province,province_key,year,geographical_region,statistical_region,population,in_migration,out_migration,net_migration,net_migration_rate,active_insured_total,active_insured_share_of_population,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate,higher_education_share,tr_code,academic_year,upper_secondary_gross_enrollment_rate,general_secondary_gross_enrollment_rate,vocational_secondary_gross_enrollment_rate,investigation_files_total_load,investigation_files_carry_in,investigation_files_opened,investigation_files_closed,investigation_files_carry_out,investigation_files_total_load_per_100k,investigation_files_opened_per_100k,high_justice_risk
Adana,adana,2021,Akdeniz,Akdeniz,2263373.0,53649.0,65628.0,-11979.0,-5.278574930184138,548478,0.24232771178237084,2045393.0,59516.0,221690.0,384204.0,459128.0,288827.0,31690.0,4606.0,0.029097586625162,0.2244693318105615,0.1412085599197807,0.0177452450458176,0.1589538049655983,TR621,2020-2021,126.24,77.9,48.34,245731.0,132916.0,112815.0,109810.0,135921.0,10856.849489677574,4984.375089744377,0
Adıyaman,adiyaman,2021,Güneydoğu Anadolu,Güneydoğu Anadolu,632148.0,17598.0,24860.0,-7262.0,-11.42220803140714,123525,0.1954051899238786,561169.0,28386.0,66093.0,115668.0,114273.0,67126.0,7011.0,870.0,0.0505836922566998,0.203633842924324,0.1196181542458688,0.0140438976493712,0.1336620518952401,TRC12,2020-2021,128.91,71.81,57.1,37040.0,16868.0,20172.0,19355.0,17685.0,5859.387358656517,3191.024886577194,0
Afyonkarahisar,afyonkarahisar,2021,Ege,Ege,744179.0,24643.0,25327.0,-684.0,-0.9187114936986333,188652,0.2535035253615058,673807.0,13759.0,63675.0,125607.0,131685.0,77604.0,8753.0,1482.0,0.0204197937985209,0.1954343009199964,0.1151724455222341,0.0151898095448696,0.13036225506710378,TR332,2020-2021,120.48,77.77,42.72,66428.0,27852.0,38576.0,37324.0,29104.0,8926.34702134836,5183.699083150694,1
Aksaray,aksaray,2021,İç Anadolu,Orta Anadolu,429069.0,14210.0,15529.0,-1319.0,-3.0693798526278804,105414,0.24568076463226193,375001.0,12342.0,38185.0,75550.0,67253.0,40618.0,4872.0,842.0,0.0329119122349007,0.1793408550910531,0.1083143778283257,0.0152372927005528,0.1235516705288786,TR712,2020-2021,120.94,78.18,42.75,36623.0,17614.0,19009.0,17943.0,18680.0,8535.457001088404,4430.289766913946,0
Amasya,amasya,2021,Karadeniz,Batı Karadeniz,335331.0,15244.0,14540.0,704.0,2.101624280925073,85548,0.25511509523426107,309883.0,7533.0,27205.0,50504.0,67395.0,44968.0,4091.0,668.0,0.0243091747530519,0.2174853089714505,0.1451128329079039,0.0153574090866552,0.16047024199455923,TR834,2020-2021,122.13,69.64,52.49,25542.0,9185.0,16357.0,16506.0,9036.0,7616.951609007219,4877.866943408155,0
Ankara,ankara,2021,İç Anadolu,Batı Anadolu,5747325.0,197702.0,165604.0,32098.0,5.600498039180106,2085635,0.36288795222125075,5158955.0,78853.0,392154.0,794379.0,1321201.0,1132120.0,182044.0,37557.0,0.0152846845921315,0.256098570350003,0.2194475431555421,0.0425669539664525,0.26201449712199465,TR510,2020-2021,102.7,59.09,43.61,809514.0,446593.0,362921.0,381335.0,428179.0,14085.056961281989,6314.607230320192,1
Antalya,antalya,2021,Akdeniz,Akdeniz,2619832.0,88305.0,80505.0,7800.0,2.981728882860869,830157,0.31687413544074583,2287823.0,21318.0,213117.0,386954.0,544726.0,393369.0,38960.0,6085.0,0.0093180285362984,0.2380979647463986,0.1719403118160802,0.0196890231455842,0.19162933496166443,TR611,2020-2021,107.3,64.92,42.38,375684.0,199950.0,175734.0,179397.0,196287.0,14340.003481139249,6707.834700851046,1
Ardahan,ardahan,2021,Doğu Anadolu,Kuzeydoğu Anadolu,94932.0,4750.0,6445.0,-1695.0,-17.69689756158677,21899,0.23068090843972527,87479.0,4414.0,7947.0,17632.0,17020.0,9710.0,1120.0,206.0,0.0504578241635135,0.1945609803495696,0.1109980681077744,0.0151579236159535,0.126155991723728,TRA24,2020-2021,121.03,73.77,47.26,9149.0,3627.0,5522.0,5175.0,3974.0,9637.42468293094,5816.79517970758,1
Artvin,artvin,2021,Karadeniz,Doğu Karadeniz,169543.0,8238.0,8224.0,14.0,0.0825783314458286,48119,0.2838159051096182,158363.0,4326.0,12721.0,24585.0,42198.0,25232.0,2193.0,420.0,0.0273169869224503,0.2664637573170501,0.1593301465620125,0.0165000663033663,0.17583021286537892,TR905,2020-2021,120.24,79.77,40.47,14089.0,5584.0,8505.0,8165.0,5924.0,8309.986257173696,5016.426511268528,0
Aydın,aydin,2021,Ege,Ege,1134031.0,46485.0,37246.0,9239.0,8.18036650060673,292669,0.25807848286334323,1042855.0,16073.0,94932.0,173606.0,217681.0,158770.0,15488.0,2567.0,0.0154124974229399,0.2087356343882898,0.1522455183127088,0.0173130492733889,0.16955856758609777,TR321,2020-2021,134.7,75.63,59.07,179808.0,92270.0,87538.0,85850.0,93958.0,15855.651212356628,7719.189334330366,1
