province,year,education_population_6_plus,illiterate_total,literate_no_diploma_total,lower_secondary_total,upper_secondary_total,university_total,masters_total,doctorate_total,illiterate_rate,upper_secondary_rate,university_rate,postgraduate_rate
Adana,2021,2045393.0,59516.0,221690.0,384204.0,459128.0,288827.0,31690.0,4606.0,0.02909758662516201,0.22446933181056158,0.1412085599197807,0.0177452450458176
Adana,2022,2064253.0,58508.0,220032.0,377214.0,477414.0,301657.0,33810.0,4746.0,0.02834342495808411,0.23127688321150558,0.14613373457613965,0.018677943062211853
Adana,2023,2072814.0,58236.0,218619.0,383962.0,482604.0,308683.0,36046.0,4905.0,0.02809514022965881,0.23282552124792674,0.14891977765491743,0.019756234761054297
Adana,2024,2092619.0,55609.0,216729.0,382376.0,499479.0,319838.0,38191.0,5211.0,0.026573877041162295,0.23868606755458113,0.15284100928071473,0.020740517026749734
Adıyaman,2021,561169.0,28386.0,66093.0,115668.0,114273.0,67126.0,7011.0,870.0,0.050583692256699855,0.20363384292432404,0.11961815424586889,0.014043897649371223
Adıyaman,2022,566318.0,27618.0,66349.0,114076.0,118735.0,69979.0,7359.0,909.0,0.04876765350915917,0.20966135634043065,0.12356838384088092,0.014599571265614019
Adıyaman,2023,543029.0,25966.0,63699.0,110474.0,114263.0,66590.0,6844.0,729.0,0.047816967417946374,0.2104178598196413,0.12262696835712274,0.013945848195952702
Adıyaman,2024,551721.0,24993.0,63639.0,110216.0,120073.0,69799.0,7143.0,808.0,0.04530007014414895,0.21763355029081727,0.1265114070336275,0.014411269464095077
Afyonkarahisar,2021,673807.0,13759.0,63675.0,125607.0,131685.0,77604.0,8753.0,1482.0,0.020419793798520942,0.1954343009199964,0.11517244552223412,0.015189809544869674
Afyonkarahisar,2022,679554.0,13242.0,62661.0,123522.0,138385.0,80790.0,9331.0,1571.0,0.019486310138708624,0.20364091742525245,0.11888679928305919,0.016042875179897404
Afyonkarahisar,2023,686196.0,13278.0,62647.0,126023.0,144992.0,82835.0,10160.0,1621.0,0.019350156515048178,0.2112982296603303,0.12071623850911402,0.01716856408373118
Afyonkarahisar,2024,689683.0,12527.0,61711.0,126133.0,149735.0,84973.0,10691.0,1714.0,0.018163417106119767,0.21710698973296427,0.12320587864279677,0.017986524243746766
Aksaray,2021,375001.0,12342.0,38185.0,75550.0,67253.0,40618.0,4872.0,842.0,0.032911912234900705,0.1793408550910531,0.10831437782832579,0.0152372927005528
Aksaray,2022,379741.0,12056.0,37881.0,74568.0,71211.0,42897.0,5290.0,897.0,0.03174795452690123,0.18752518163695783,0.11296383587761132,0.016292683697572818
Aksaray,2023,387358.0,12012.0,38259.0,77160.0,74622.0,44542.0,5869.0,938.0,0.031010073368821608,0.1926434977462709,0.1149892347647396,0.01757289122723682
Aksaray,2024,390445.0,11495.0,37528.0,77401.0,77229.0,46475.0,6294.0,994.0,0.029440766305113397,0.19779738503502414,0.11903084941541062,0.018665881238074503
Amasya,2021,309883.0,7533.0,27205.0,50504.0,67395.0,44968.0,4091.0,668.0,0.024309174753051957,0.21748530897145052,0.14511283290790394,0.015357409086655286
