province,year,investigation_files_total_load,investigation_files_carry_in,investigation_files_opened,investigation_files_closed,investigation_files_carry_out
Adana,2011,171394.0,82061.0,89333.0,84244.0,87150.0
Adana,2012,179927.0,87152.0,92775.0,86311.0,93616.0
Adana,2013,193630.0,93615.0,100015.0,93783.0,99847.0
Adana,2014,203390.0,101350.0,102040.0,93951.0,109439.0
Adana,2015,211659.0,109439.0,102220.0,100783.0,110876.0
Adana,2016,218678.0,110877.0,107801.0,95175.0,123503.0
Adana,2017,237840.0,123504.0,114336.0,106004.0,131836.0
Adana,2018,242187.0,131835.0,110352.0,102989.0,139198.0
Adana,2019,241380.0,139198.0,102182.0,110396.0,130984.0
Adana,2020,230176.0,130984.0,99192.0,97261.0,132915.0
Adana,2021,245731.0,132916.0,112815.0,109810.0,135921.0
Adıyaman,2011,22908.0,5746.0,17162.0,15644.0,7264.0
Adıyaman,2012,24581.0,7264.0,17317.0,16914.0,7667.0
Adıyaman,2013,24558.0,7667.0,16891.0,16244.0,8314.0
Adıyaman,2014,25779.0,8324.0,17455.0,16088.0,9691.0
Adıyaman,2015,26773.0,9691.0,17082.0,15745.0,11028.0
Adıyaman,2016,29493.0,11028.0,18465.0,14771.0,14722.0
Adıyaman,2017,34745.0,14721.0,20024.0,19226.0,15519.0
Adıyaman,2018,36289.0,15519.0,20770.0,19685.0,16604.0
Adıyaman,2019,37162.0,16604.0,20558.0,20982.0,16180.0
Adıyaman,2020,34792.0,16180.0,18612.0,17924.0,16868.0
Adıyaman,2021,37040.0,16868.0,20172.0,19355.0,17685.0
Afyonkarahisar,2011,40014.0,12086.0,27928.0,27582.0,12432.0
Afyonkarahisar,2012,39718.0,12432.0,27286.0,25836.0,13882.0
Afyonkarahisar,2013,41482.0,13882.0,27600.0,26822.0,14660.0
Afyonkarahisar,2014,44258.0,14660.0,29598.0,28066.0,16192.0
Afyonkarahisar,2015,46159.0,16192.0,29967.0,29956.0,16203.0
Afyonkarahisar,2016,46792.0,16205.0,30587.0,26200.0,20592.0
Afyonkarahisar,2017,58690.0,20592.0,38098.0,34597.0,24093.0
Afyonkarahisar,2018,60964.0,24090.0,36874.0,36547.0,24417.0
Afyonkarahisar,2019,60935.0,24417.0,36518.0,35745.0,25190.0
Afyonkarahisar,2020,61125.0,25191.0,35934.0,33273.0,27852.0
Afyonkarahisar,2021,66428.0,27852.0,38576.0,37324.0,29104.0
Aksaray,2011,16777.0,5160.0,11617.0,10638.0,6139.0
Aksaray,2012,18672.0,6139.0,12533.0,10887.0,7785.0
Aksaray,2013,22256.0,7785.0,14471.0,14246.0,8010.0
Aksaray,2014,23743.0,8010.0,15733.0,13630.0,10113.0
Aksaray,2015,27538.0,10113.0,17425.0,17341.0,10197.0
Aksaray,2016,27727.0,10197.0,17530.0,10769.0,16958.0
Aksaray,2017,36786.0,16958.0,19828.0,18576.0,18210.0
Aksaray,2018,38248.0,18210.0,20038.0,19850.0,18398.0
Aksaray,2019,36588.0,18398.0,18190.0,20596.0,15992.0
Aksaray,2020,34204.0,15992.0,18212.0,16590.0,17614.0
Aksaray,2021,36623.0,17614.0,19009.0,17943.0,18680.0
Amasya,2011,17495.0,4775.0,12720.0,12966.0,4529.0
Amasya,2012,17585.0,4529.0,13056.0,12788.0,4797.0
Amasya,2013,18911.0,4797.0,14114.0,13825.0,5086.0
Amasya,2014,18877.0,5086.0,13791.0,13031.0,5846.0
Amasya,2015,19278.0,5846.0,13432.0,13469.0,5809.0
Amasya,2016,19845.0,5809.0,14036.0,12008.0,7837.0
Amasya,2017,24400.0,7840.0,16560.0,14843.0,9557.0
Amasya,2018,25484.0,9557.0,15927.0,16716.0,8768.0
Amasya,2019,25829.0,8768.0,17061.0,17172.0,8657.0
Amasya,2020,24825.0,8657.0,16168.0,15640.0,9185.0
Amasya,2021,25542.0,9185.0,16357.0,16506.0,9036.0
Ankara,2011,460601.0,250471.0,210130.0,181228.0,279373.0
Ankara,2012,495057.0,279375.0,215682.0,190210.0,304847.0
Ankara,2013,538761.0,304847.0,233914.0,206598.0,332163.0
Ankara,2014,584508.0,332631.0,251877.0,240072.0,344436.0
Ankara,2015,609916.0,344437.0,265479.0,259712.0,350204.0
Ankara,2016,625597.0,350204.0,275393.0,241808.0,383789.0
Ankara,2017,693886.0,383790.0,310096.0,261250.0,432636.0
Ankara,2018,765399.0,432636.0,332763.0,332946.0,432453.0
Ankara,2019,736639.0,432454.0,304185.0,317273.0,419366.0
Ankara,2020,722065.0,419365.0,302700.0,275473.0,446592.0
Ankara,2021,809514.0,446593.0,362921.0,381335.0,428179.0
Antalya,2011,253481.0,117211.0,136270.0,126306.0,127175.0
Antalya,2012,264144.0,127175.0,136969.0,122437.0,141707.0
Antalya,2013,286432.0,141708.0,144724.0,140910.0,145522.0
Antalya,2014,293085.0,145620.0,147465.0,138600.0,154485.0
Antalya,2015,305599.0,154485.0,151114.0,146818.0,158781.0
Antalya,2016,314051.0,158781.0,155270.0,134439.0,179612.0
Antalya,2017,347773.0,179612.0,168161.0,137569.0,210204.0
Antalya,2018,395081.0,210205.0,184876.0,187844.0,207237.0
Antalya,2019,390246.0,207239.0,183007.0,194833.0,195413.0
Antalya,2020,356898.0,195412.0,161486.0,156948.0,199950.0
Antalya,2021,375684.0,199950.0,175734.0,179397.0,196287.0
Ardahan,2011,7382.0,1653.0,5729.0,6205.0,1177.0
Ardahan,2012,6260.0,1177.0,5083.0,4817.0,1443.0
Ardahan,2013,7018.0,1443.0,5575.0,5215.0,1803.0
Ardahan,2014,6941.0,1816.0,5125.0,4795.0,2146.0
Ardahan,2015,6815.0,2146.0,4669.0,4511.0,2304.0
Ardahan,2016,7107.0,2304.0,4803.0,3467.0,3640.0
Ardahan,2017,9409.0,3639.0,5770.0,4971.0,4438.0
Ardahan,2018,10004.0,4439.0,5565.0,5907.0,4097.0
Ardahan,2019,9328.0,4097.0,5231.0,5923.0,3405.0
Ardahan,2020,8266.0,3406.0,4860.0,4639.0,3627.0
Ardahan,2021,9149.0,3627.0,5522.0,5175.0,3974.0
Artvin,2011,9196.0,2784.0,6412.0,6778.0,2418.0
Artvin,2012,8626.0,2418.0,6208.0,6113.0,2513.0
Artvin,2013,9488.0,2514.0,6974.0,6608.0,2880.0
Artvin,2014,9865.0,2882.0,6983.0,6645.0,3220.0
Artvin,2015,10274.0,3220.0,7054.0,6493.0,3781.0
Artvin,2016,11308.0,3781.0,7527.0,6158.0,5150.0
