tr_code,province,academic_year,upper_secondary_gross_enrollment_rate,general_secondary_gross_enrollment_rate,vocational_secondary_gross_enrollment_rate,year
TR621,Adana,2010-2011,83.89,53.56,30.32,2011
TR621,Adana,2011-2012,88.57,55.67,32.9,2012
TR621,Adana,2012-2013,91.44,57.3,34.14,2013
TR621,Adana,2013-2014,99.28,58.2,41.09,2014
TR621,Adana,2014-2015,119.1,70.04,49.06,2015
TR621,Adana,2015-2016,106.16,59.59,46.57,2016
TR621,Adana,2016-2017,104.12,59.03,45.08,2017
TR621,Adana,2017-2018,109.87,59.76,50.1,2018
TR621,Adana,2018-2019,109.94,62.99,46.95,2019
TR621,Adana,2019-2020,112.99,68.67,44.32,2020
TR621,Adana,2020-2021,126.24,77.9,48.34,2021
TR621,Adana,2021-2022,116.96,70.89,46.08,2022
TR621,Adana,2022-2023,117.05,73.42,43.64,2023
TR621,Adana,2023-2024,108.05,65.48,42.57,2024
TR621,Adana,2024-2025,98.8,63.33,35.47,2025
TRC12,Adiyaman,2010-2011,77.11,53.89,23.22,2011
TRC12,Adiyaman,2011-2012,84.26,57.53,26.73,2012
TRC12,Adiyaman,2012-2013,90.82,59.1,31.72,2013
TRC12,Adiyaman,2013-2014,104.15,59.08,45.07,2014
TRC12,Adiyaman,2014-2015,109.53,54.19,55.34,2015
TRC12,Adiyaman,2015-2016,112.68,54.47,58.21,2016
TRC12,Adiyaman,2016-2017,107.14,52.14,55.0,2017
TRC12,Adiyaman,2017-2018,116.74,60.8,55.93,2018
TRC12,Adiyaman,2018-2019,108.08,55.98,52.1,2019
TRC12,Adiyaman,2019-2020,112.32,63.35,48.97,2020
TRC12,Adiyaman,2020-2021,128.91,71.81,57.1,2021
TRC12,Adiyaman,2021-2022,117.55,63.13,54.42,2022
TRC12,Adiyaman,2022-2023,125.04,69.48,55.56,2023
TRC12,Adiyaman,2023-2024,106.93,58.06,48.87,2024
TRC12,Adiyaman,2024-2025,100.08,60.39,39.69,2025
TR332,Afyonkarahisar,2010-2011,73.97,31.47,42.5,2011
TR332,Afyonkarahisar,2011-2012,77.91,32.01,45.9,2012
TR332,Afyonkarahisar,2012-2013,79.53,31.86,47.67,2013
TR332,Afyonkarahisar,2013-2014,91.7,42.4,49.3,2014
TR332,Afyonkarahisar,2014-2015,99.75,47.72,52.04,2015
TR332,Afyonkarahisar,2015-2016,101.85,53.45,48.4,2016
TR332,Afyonkarahisar,2016-2017,100.65,52.93,47.72,2017
TR332,Afyonkarahisar,2017-2018,106.72,58.79,47.93,2018
TR332,Afyonkarahisar,2018-2019,108.11,62.53,45.57,2019
TR332,Afyonkarahisar,2019-2020,109.42,67.81,41.6,2020
TR332,Afyonkarahisar,2020-2021,120.48,77.77,42.72,2021
TR332,Afyonkarahisar,2021-2022,114.45,73.84,40.6,2022
TR332,Afyonkarahisar,2022-2023,115.42,76.14,39.28,2023
TR332,Afyonkarahisar,2023-2024,107.13,68.6,38.53,2024
TR332,Afyonkarahisar,2024-2025,99.73,53.28,46.44,2025
TRA21,Agri,2010-2011,38.8,26.11,12.69,2011
TRA21,Agri,2011-2012,43.57,28.31,15.26,2012
TRA21,Agri,2012-2013,47.64,29.23,18.41,2013
TRA21,Agri,2013-2014,60.35,33.37,26.98,2014
TRA21,Agri,2014-2015,69.72,34.83,34.89,2015
TRA21,Agri,2015-2016,68.77,37.21,31.56,2016
TRA21,Agri,2016-2017,66.19,37.16,29.03,2017
TRA21,Agri,2017-2018,115.7,52.96,62.73,2018
TRA21,Agri,2018-2019,115.24,54.95,60.29,2019
TRA21,Agri,2019-2020,118.41,64.02,54.39,2020
TRA21,Agri,2020-2021,128.92,75.38,53.54,2021
TRA21,Agri,2021-2022,118.07,69.6,48.47,2022
TRA21,Agri,2022-2023,123.18,75.26,47.92,2023
TRA21,Agri,2023-2024,112.37,66.86,45.51,2024
