province,year,population,in_migration,out_migration,net_migration,net_migration_rate
Adana,2021,2263373.0,53649.0,65628.0,-11979.0,-5.278574930184138
Adana,2022,2274106.0,55018.0,62156.0,-7138.0,-3.1338975051313294
Adana,2023,2270298.0,66104.0,77898.0,-11794.0,-5.181454137277343
Adana,2024,2280484.0,55342.0,56108.0,-766.0,-0.33583720576429926
Adıyaman,2021,632148.0,17598.0,24860.0,-7262.0,-11.422208031407141
Adıyaman,2022,635169.0,18780.0,23359.0,-4579.0,-7.1832127111019775
Adıyaman,2023,604978.0,23294.0,48372.0,-25078.0,-40.611027712597384
Adıyaman,2024,611037.0,22295.0,21158.0,1137.0,1.8625039621208956
Afyonkarahisar,2021,744179.0,24643.0,25327.0,-684.0,-0.9187114936986331
Afyonkarahisar,2022,747555.0,23667.0,25425.0,-1758.0,-2.3489045126223553
Afyonkarahisar,2023,751344.0,30431.0,26427.0,4004.0,5.343354569742521
Afyonkarahisar,2024,750193.0,20801.0,25035.0,-4234.0,-5.627999096117292
Aksaray,2021,429069.0,14210.0,15529.0,-1319.0,-3.0693798526278804
Aksaray,2022,433055.0,14264.0,14147.0,117.0,0.2702100363397857
Aksaray,2023,438504.0,20400.0,15112.0,5288.0,12.132336071215528
Aksaray,2024,439474.0,13969.0,14893.0,-924.0,-2.10030549898167
Amasya,2021,335331.0,15244.0,14540.0,704.0,2.101624280925073
Amasya,2022,338267.0,15217.0,13847.0,1370.0,4.058273249166128
Amasya,2023,339529.0,19307.0,15046.0,4261.0,12.628983234958069
Amasya,2024,342378.0,13879.0,14446.0,-567.0,-1.654694209883515
Ankara,2021,5747325.0,197702.0,165604.0,32098.0,5.600498039180106
Ankara,2022,5782285.0,189104.0,161912.0,27192.0,4.713722649981651
Ankara,2023,5803482.0,232700.0,208740.0,23960.0,4.1370960417522085
Ankara,2024,5864049.0,202402.0,150373.0,52029.0,8.912074774481034
Antalya,2021,2619832.0,88305.0,80505.0,7800.0,2.9817288828608692
Antalya,2022,2688004.0,92004.0,78986.0,13018.0,4.854754530588347
Antalya,2023,2696249.0,118356.0,88758.0,29598.0,11.038057767252793
Antalya,2024,2722103.0,96618.0,71999.0,24619.0,9.085194130106224
Ardahan,2021,94932.0,4750.0,6445.0,-1695.0,-17.69689756158677
Ardahan,2022,92481.0,5391.0,8157.0,-2766.0,-29.468166709281512
